,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
172,CITR41-CITR41,,70,70,35.208,0.1,0.1,1.0,0.0,2.219911784481555,1.0,1,,True
173,CITR41-CITR41,,70,70,35.208,0.1,0.1,1.0,0.0,2.1535165035412747,1.0,1,,True
174,CITR41-PUDM41,,70,291,7.29,0.01448559670781893,0.13124828532235938,1.0,0.0,1.6396747640904075,1.0,1,,True
175,CITR41-SJOW41,,70,340,7.243,0.014358691150075934,0.131216346817617,1.0,0.0,1.6396747640904075,1.0,1,,True
176,CITR41-SJOW41,,70,340,6.776,0.014403778040141675,0.13128689492325854,1.0,0.0,1.6396747640904075,1.0,1,,True
177,CITR41-WHAM4B,,70,423,9.39,0.01448349307774228,0.13120340788072418,1.0,0.0,1.6396747640904075,1.0,1,,True
178,CLEH41-KEMS4B,,71,187,13.5,0.02488888888888889,0.306962962962963,1.0,0.0,4.399409050129896,1.0,1,,True
179,CONQ41-DAIN41,,72,85,60.331,0.02492914090600189,0.3069731978584807,1.0,0.0,4.399409050129896,1.0,1,,True
180,CONQ41-DAIN41,,72,85,60.294,0.024891365641689055,0.306816598666534,1.0,0.0,4.399409050129896,1.0,1,,True
181,CONQ41-FLIB41,,72,124,3.495,0.010071530758226038,0.22889842632331903,1.0,0.0,2.0755742172200757,1.0,1,,True
182,CONQ41-FLIB41,,72,124,3.388,0.01038961038961039,0.22904368358913815,1.0,0.0,2.0755742172200757,1.0,1,,True
183,CONQ41-PENM4A,,72,276,30.427,0.017300423965556908,0.2776481414533145,1.0,0.0,3.696485097566491,1.0,1,,True
184,CONQ41-PENM4B,,72,277,30.427,0.017300423965556908,0.2776481414533145,1.0,0.0,3.696485097566491,1.0,1,,True
185,CONQ41-TREU4A,,72,398,14.323,0.027368568037422332,0.3130070515953362,1.0,0.0,3.322650798359259,1.0,1,,True
186,CONQ41-TREU4B,,72,399,14.323,0.027368568037422332,0.3130070515953362,1.0,0.0,3.06717330430644,1.0,1,,True
187,COSO41-RAYL41,,73,299,13.913,0.0249550779846187,0.31027096959677997,1.0,0.0,4.1511484344401515,1.0,1,,True
188,COSO41-TILB4B,,73,385,12.363,0.024977756208040124,0.3106042222761466,1.0,0.0,3.3587351901746287,1.0,1,,True
189,COTT41-KEAD4C,,74,181,34.479,0.02747179442559239,0.31685373705733927,1.0,0.0,3.06717330430644,1.0,1,,True
190,COTT41-KEAD4D,,74,182,34.628,0.027492202841631046,0.31687651611412726,1.0,0.0,3.06717330430644,1.0,1,,True
191,COTT41-MARH4B,,74,226,100.853,0.028112202909184654,0.31494551475910487,1.0,0.0,2.758290910366874,1.0,1,,True
192,COTT41-RYHA4A,,74,317,76.891,0.01735443680014566,0.27829524911888254,1.0,0.0,3.708032102947409,1.0,1,,True
193,COTT41-STAY41,,74,352,28.288,0.02861990950226244,0.3135746606334841,1.0,0.0,3.06717330430644,1.0,1,,True
194,COTT42-RYHA4B,,75,318,76.816,0.01737138096229952,0.2782961882941054,1.0,0.0,3.708032102947409,1.0,1,,True
195,COTT42-STAY41,,75,352,27.698,0.025474763520831827,0.30598599176835867,1.0,0.0,3.06717330430644,1.0,1,,True
196,COTT42-WBUR42,,75,420,6.76,0.024852071005917162,0.3126627218934911,1.0,0.0,4.5610671254627535,1.0,1,,True
197,COVE21-NECH21,,76,246,30.715,0.01524072114601986,0.27603186553801073,1.0,0.0,2.340892909040723,1.0,1,,True
198,COVE21-RATS2A,,76,297,65.363,0.025118472989305873,0.30526291632880986,1.0,0.0,2.0994555238033388,1.0,1,,True
199,COWL41-CULJ4A,,77,84,6.496,0.017241379310344827,0.27832512315270935,1.0,0.0,3.7065887272747946,1.0,1,,True
200,COWL41-DIDC41,,77,87,11.503,0.01738676866904286,0.2783273928540381,1.0,0.0,3.7065887272747946,1.0,1,,True
201,COWL41-ECLA41,,77,99,36.301,0.01736591278477177,0.2782953637640836,1.0,0.0,3.7065887272747946,1.0,1,,True
202,COWL41-LEIB4A,,77,208,52.495,0.01636727307362606,0.27720735308124583,1.0,0.0,3.7065887272747946,1.0,1,,True
203,COWL41-MITY41,,77,241,102.197,0.022200260281612965,0.28952708983629655,1.0,0.0,1.6339012613999484,1.0,1,,True
204,COWL41-WALH41,,77,407,91.645,0.019728299416225656,0.2857286267663266,1.0,0.0,1.6339012613999484,1.0,1,,True
205,COWT2A-PYLE21,,78,292,22.6,0.04463882743362831,0.3108990597345133,1.0,0.0,1.8454214054231348,1.0,1,,True
206,CREB2A-HEDO21,,81,154,20.347,0.02096254976163562,0.2819908954637047,1.0,0.0,3.493493991608756,1.0,1,,True
207,CREB2B-SAEN21,,82,319,20.347,0.02096254976163562,0.2819908954637047,1.0,0.0,3.493493991608756,1.0,1,,True
208,CREB41-GART4A,,83,129,32.081,0.01735606745425641,0.2782955643527321,1.0,0.0,3.999593988815598,1.0,1,,True
209,CREB41-GART4B,,83,130,32.109,0.017340932448846116,0.27830203369771717,1.0,0.0,4.1511484344401515,1.0,1,,True
210,CREB41-THTO41,,83,377,29.809,0.014170217048542386,0.27481633063839783,1.0,0.0,4.1511484344401515,1.0,1,,True
211,CREB41-THTO42,,83,378,29.671,0.014182198105894644,0.2748003100670689,1.0,0.0,4.1511484344401515,1.0,1,,True
212,CULJ4A-DIDC41,,84,87,4.898,0.017313189056757862,0.2783176806859943,1.0,0.0,3.7065887272747946,1.0,1,,True
213,DAIN41-MACC41,,85,220,35.993,0.02404912066235101,0.28943405662212096,1.0,0.0,3.322650798359259,1.0,1,,True
214,DAMC41-KINO41,,86,191,35.993,0.1,0.1,1.0,0.0,2.205478027755407,1.0,1,,True
215,DINO41-PENT41,,88,281,10.762,0.011150343802267235,0.17602676082512544,1.0,0.0,2.3151745788741316,1.0,1,,True
